"","geneNames","geneIDs","transcriptNames","feature","id","fc","pval","qval","logfc"
"33861","GLUL","MSTRG.18976","ENST00000461447","transcript","33861",2.88160466273163,0.0216893118186066,0.082630333746076,1.52687242078713
"34160","NCF2","MSTRG.19133","ENST00000367535","transcript","34160",2.67778767373464,0.000475958572061508,0.005263916100621,1.42104157149338
"34380","IVNS1ABP","MSTRG.19302","ENST00000367498","transcript","34380",2.17657010276314,0.00623780925188788,0.0328332280997324,1.12205648705897
"35394",".","MSTRG.20232","MSTRG.20232.6","transcript","35394",9.79121445155486,0.00489461899053045,0.0275085315140644,3.2914878153521
"35400","RGS18","MSTRG.20232","ENST00000481707","transcript","35400",2.09867374586501,0.000151051227505583,0.00243505619476633,1.06947790659841
"35401","RGS18","MSTRG.20232","ENST00000492967","transcript","35401",0.129681848127667,0.00314791279010984,0.0200597531731125,-2.94695153857364
"35405",".","MSTRG.20232","MSTRG.20232.12","transcript","35405",8.10498237531412,0.0158312958784297,0.0656761682156785,3.01880904853436
"36510","PTPRC","MSTRG.21228","ENST00000367364","transcript","36510",0.31812651154264,9.6597560261813e-07,9.27003483478019e-05,-1.65232748887816
"36521","RP11-553K8.5","MSTRG.21229","ENST00000566394","transcript","36521",0.492680221242374,2.54572221136673e-06,0.000175919173942595,-1.02127653938969
"37458","ADIPOR1","MSTRG.21699","ENST00000495562","transcript","37458",0.462156939149787,0.0284411577342223,0.100923746576764,-1.11354524998687
"37459",".","MSTRG.21699","MSTRG.21699.2","transcript","37459",4.68691256604152,0.0120734289160671,0.0538624132042498,2.2286378817137
"37466","CYB5R1","MSTRG.21701","ENST00000367249","transcript","37466",2.40093465626829,0.00179097249699744,0.0134314162299321,1.26359613977803
"38994",".","MSTRG.22607","MSTRG.22607.12","transcript","38994",0.341381430175362,2.95147166706755e-08,8.77217496543096e-06,-1.55054351139739
"40741","MORF4L1P1","MSTRG.23845","ENST00000404582","transcript","40741",2.11068733652407,4.802796382819e-09,2.26196931795751e-06,1.07771288306478
"41150",".","MSTRG.24197","MSTRG.24197.13","transcript","41150",3.83252490615132,0.000469403836653504,0.00521402744973647,1.93829516745202
"41366","CAPN2","MSTRG.24251","ENST00000295006","transcript","41366",3.46487465990751,7.83053153188273e-05,0.00156967855687356,1.79280316454128
"41373",".","MSTRG.24251","MSTRG.24251.10","transcript","41373",3.46069346023577,2.92497731635422e-06,0.000186546522053233,1.79106115676383
